date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles
2020-09-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-23,0,0,0,0,0,0,5,0,0,0,0,0,0,0
2020-09-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-27,0,0,0,0,0,0,5,0,0,0,0,0,0,0
2020-09-28,0,0,0,0,0,0,5,0,6,0,0,0,0,0
2020-09-29,0,0,0,0,0,0,5,0,0,0,0,0,0,0
2020-09-30,0,0,0,0,0,0,5,0,0,0,0,0,0,0
2020-10-01,0,0,0,0,0,0,5,0,5,0,0,0,0,0
2020-10-02,0,0,0,0,0,0,0,0,5,5,0,0,0,0
2020-10-03,0,0,0,0,0,0,5,0,6,5,0,0,0,0
2020-10-04,0,0,0,0,0,0,6,0,0,0,0,0,0,0
2020-10-05,0,0,0,0,0,0,6,0,0,0,0,0,0,0
2020-10-06,0,0,0,0,0,0,6,0,0,6,0,0,0,0
2020-10-07,0,0,0,0,0,0,7,0,0,7,0,0,0,0
2020-10-08,5,0,0,0,0,0,9,0,0,6,0,0,0,0
2020-10-09,5,0,0,0,0,0,11,0,0,6,0,0,0,0
2020-10-10,5,0,0,0,0,0,13,0,0,6,0,0,0,0
2020-10-11,5,0,0,0,0,0,14,0,5,5,0,0,0,0
2020-10-12,5,0,0,0,0,0,13,0,5,7,0,0,0,0
2020-10-13,5,0,0,0,0,0,14,0,6,0,0,0,0,0
2020-10-14,5,0,0,0,0,0,15,0,10,6,0,0,0,0
2020-10-15,5,0,0,0,0,0,16,0,10,7,0,0,0,0
2020-10-16,5,0,0,0,5,0,19,0,9,7,0,0,0,0
2020-10-17,7,0,0,0,0,0,21,0,10,8,0,0,0,0
2020-10-18,8,0,0,0,0,0,20,0,11,8,0,0,0,0
2020-10-19,8,0,0,0,0,0,19,0,12,8,0,0,0,0
2020-10-20,8,0,0,0,0,0,18,0,16,9,0,0,0,0
2020-10-21,8,0,0,0,5,0,18,0,15,9,0,0,0,0
2020-10-22,7,0,0,0,6,0,19,0,16,8,0,0,0,0
2020-10-23,8,0,0,0,7,0,17,0,16,9,0,0,0,0
2020-10-24,6,0,0,0,9,5,22,0,18,9,0,0,0,0
2020-10-25,6,0,0,5,10,5,23,0,18,8,0,0,0,0
2020-10-26,7,0,0,5,11,5,21,0,20,8,0,0,0,0
2020-10-27,7,0,0,5,12,0,17,0,19,8,0,0,0,0
2020-10-28,7,0,0,6,11,0,20,0,20,7,0,0,0,0
2020-10-29,7,0,0,7,11,0,18,0,22,8,0,0,0,0
2020-10-30,7,0,0,7,8,0,17,0,21,10,0,0,6,0
2020-10-31,7,0,0,7,7,0,15,0,21,10,0,0,6,0
2020-11-01,8,0,0,8,6,0,15,0,19,11,0,0,7,0
2020-11-02,8,0,0,10,10,0,21,0,21,9,0,0,7,0
2020-11-03,8,0,0,11,9,0,20,0,22,8,0,0,6,0
2020-11-04,9,0,0,11,10,0,22,0,23,8,0,0,6,0
2020-11-05,9,0,0,12,10,0,21,0,24,9,0,0,5,0
2020-11-06,8,0,0,12,9,6,22,0,25,8,0,0,5,0
2020-11-07,8,0,0,10,10,6,29,0,24,9,0,0,6,0
2020-11-08,8,0,0,10,10,6,30,0,24,10,0,0,9,0
2020-11-09,10,0,0,11,10,6,27,0,24,8,0,0,6,0
2020-11-10,10,0,0,10,10,6,26,0,23,9,0,0,6,0
2020-11-11,8,0,0,10,10,6,25,0,20,7,0,0,5,0
2020-11-12,7,0,0,9,8,6,31,0,23,7,0,0,5,0
2020-11-13,8,0,0,7,8,9,27,0,21,9,0,0,0,0
2020-11-14,7,0,0,7,10,9,25,0,20,7,0,0,0,0
2020-11-15,8,0,0,8,10,9,28,0,20,9,0,0,5,0
2020-11-16,7,0,0,9,9,9,28,0,21,9,0,0,0,0
2020-11-17,7,0,0,9,9,8,26,0,22,8,0,0,0,0
2020-11-18,7,0,0,7,8,5,30,0,19,6,0,0,0,0
2020-11-19,7,0,0,7,7,0,29,0,19,7,0,0,0,0
2020-11-20,8,0,0,9,6,5,29,0,20,7,0,0,0,0
2020-11-21,8,0,0,10,6,6,37,0,21,7,0,0,0,0
2020-11-22,7,0,0,11,0,6,36,0,20,7,0,0,0,0
2020-11-23,6,0,0,9,0,7,29,0,19,6,0,0,0,0
2020-11-24,6,0,0,9,0,6,31,0,19,6,0,0,0,0
2020-11-25,0,0,0,10,0,7,29,0,19,6,0,0,0,0
2020-11-26,0,0,0,8,0,5,37,0,20,8,0,0,0,0
2020-11-27,0,0,0,8,0,0,28,0,20,6,0,0,0,0
2020-11-28,0,0,0,8,0,0,28,0,19,5,0,0,0,0
2020-11-29,0,0,0,7,0,5,26,0,19,7,0,0,0,0
2020-11-30,0,0,0,6,0,6,26,0,19,7,0,0,0,0
2020-12-01,0,0,0,5,5,6,25,0,16,6,0,0,0,0
2020-12-02,0,0,0,0,0,6,22,0,17,5,0,0,0,0
2020-12-03,0,0,0,0,5,7,19,0,17,5,0,0,0,0
2020-12-04,0,0,0,0,5,6,15,0,17,7,0,0,5,0
2020-12-05,0,0,0,0,5,6,16,0,17,7,0,0,5,0
2020-12-06,0,0,0,0,5,6,15,0,16,7,0,0,5,0
2020-12-07,0,0,0,0,5,0,13,0,16,7,0,0,5,0
2020-12-08,0,0,0,0,5,0,12,0,15,7,0,0,7,0
2020-12-09,0,0,0,0,5,5,10,0,13,5,0,0,5,0
2020-12-10,0,0,0,0,5,5,12,0,13,5,0,0,5,0
2020-12-11,0,0,0,0,5,7,12,0,13,0,0,0,5,0
2020-12-12,0,0,0,0,0,7,11,0,14,0,0,0,5,0
2020-12-13,0,0,0,0,0,5,10,0,12,0,0,0,5,0
2020-12-14,0,0,0,0,0,5,9,0,13,5,0,0,0,0
2020-12-15,0,0,0,0,5,5,7,0,13,6,0,0,0,0
2020-12-16,0,0,0,0,7,5,8,0,12,8,0,0,0,0
2020-12-17,0,0,0,0,7,0,9,0,12,7,0,0,0,0
2020-12-18,0,0,0,0,7,0,9,0,12,8,0,0,0,0
2020-12-19,5,0,0,0,6,0,7,0,15,10,0,0,0,0
2020-12-20,7,0,0,0,6,7,7,0,15,10,0,0,0,0
2020-12-21,6,0,0,0,5,8,8,0,14,12,0,0,0,0
2020-12-22,5,0,0,0,5,11,10,0,12,11,0,0,0,0
2020-12-23,6,0,0,0,5,9,7,0,12,11,0,0,0,0
2020-12-24,7,0,0,0,5,7,8,0,12,11,0,0,0,0
2020-12-25,7,0,0,0,0,5,6,0,10,8,0,0,0,0
2020-12-26,7,0,0,0,0,7,7,0,11,9,0,0,0,0
2020-12-27,7,0,0,0,5,6,9,0,11,9,0,0,0,0
2020-12-28,6,0,0,0,6,6,12,0,9,10,0,0,0,0
2020-12-29,7,0,0,0,6,9,16,0,10,11,0,0,0,0
2020-12-30,8,0,0,0,6,11,15,0,11,11,0,0,0,0
2020-12-31,8,0,0,0,5,11,13,0,11,12,0,0,0,0
2021-01-01,9,0,0,5,5,10,12,0,11,13,0,0,0,0
2021-01-02,10,0,0,5,0,12,15,0,11,11,0,0,0,0
2021-01-03,10,0,0,5,0,13,20,0,10,7,0,0,5,0
2021-01-04,10,0,0,5,5,12,19,0,11,7,0,0,7,0
2021-01-05,11,0,0,6,6,12,24,0,13,7,0,0,7,0
2021-01-06,12,0,0,6,6,13,23,0,13,8,0,0,8,0
2021-01-07,10,0,5,7,8,13,21,0,13,9,0,0,9,0
