date,Testing - Positive cases in last 7 days
2020-04-01,1591
2020-04-02,1708
2020-04-03,1942
2020-04-04,2100
2020-04-05,2322
2020-04-06,2398
2020-04-07,2236
2020-04-08,2255
2020-04-09,2355
2020-04-10,2274
2020-04-11,2245
2020-04-12,2206
2020-04-13,2106
2020-04-14,2129
2020-04-15,2183
2020-04-16,2145
2020-04-17,2134
2020-04-18,2230
2020-04-19,2275
2020-04-20,2383
2020-04-21,2314
2020-04-22,2290
2020-04-23,2307
2020-04-24,2288
2020-04-25,2231
2020-04-26,2137
2020-04-27,2071
2020-04-28,2049
2020-04-29,1996
2020-04-30,1944
2020-05-01,1957
2020-05-02,1876
2020-05-03,1773
2020-05-04,1745
2020-05-05,1716
2020-05-06,1675
2020-05-07,1571
2020-05-08,1495
2020-05-09,1378
2020-05-10,1389
2020-05-11,1361
2020-05-12,1326
2020-05-13,1220
2020-05-14,1193
2020-05-15,1111
2020-05-16,1142
2020-05-17,1051
2020-05-18,967
2020-05-19,892
2020-05-20,822
2020-05-21,739
2020-05-22,709
2020-05-23,594
2020-05-24,564
2020-05-25,562
2020-05-26,530
2020-05-27,489
2020-05-28,432
2020-05-29,358
2020-05-30,341
2020-05-31,299
2020-06-01,262
2020-06-02,286
2020-06-03,264
2020-06-04,265
2020-06-05,255
2020-06-06,221
2020-06-07,221
2020-06-08,221
2020-06-09,182
2020-06-10,161
2020-06-11,129
2020-06-12,127
2020-06-13,127
2020-06-14,134
2020-06-15,145
2020-06-16,146
2020-06-17,155
2020-06-18,149
2020-06-19,149
2020-06-20,154
2020-06-21,155
2020-06-22,140
2020-06-23,137
2020-06-24,125
2020-06-25,119
2020-06-26,109
2020-06-27,98
2020-06-28,80
2020-06-29,71
2020-06-30,69
2020-07-01,68
2020-07-02,68
2020-07-03,63
2020-07-04,59
2020-07-05,60
2020-07-06,59
2020-07-07,51
2020-07-08,50
2020-07-09,51
2020-07-10,57
2020-07-11,53
2020-07-12,63
2020-07-13,65
2020-07-14,66
2020-07-15,64
2020-07-16,69
2020-07-17,68
2020-07-18,82
2020-07-19,86
2020-07-20,87
2020-07-21,106
2020-07-22,111
2020-07-23,116
2020-07-24,119
2020-07-25,125
2020-07-26,106
2020-07-27,102
2020-07-28,84
2020-07-29,96
2020-07-30,97
2020-07-31,107
2020-08-01,98
2020-08-02,125
2020-08-03,140
2020-08-04,159
2020-08-05,201
2020-08-06,250
2020-08-07,263
2020-08-08,305
2020-08-09,322
2020-08-10,333
2020-08-11,362
2020-08-12,345
2020-08-13,326
2020-08-14,348
2020-08-15,339
2020-08-16,334
2020-08-17,331
2020-08-18,328
2020-08-19,331
2020-08-20,361
2020-08-21,367
2020-08-22,439
2020-08-23,479
2020-08-24,519
2020-08-25,514
2020-08-26,531
2020-08-27,522
2020-08-28,502
2020-08-29,467
2020-08-30,507
2020-08-31,601
2020-09-01,711
2020-09-02,800
2020-09-03,833
2020-09-04,941
2020-09-05,994
2020-09-06,1079
2020-09-07,1065
2020-09-08,1087
2020-09-09,1090
2020-09-10,1150
2020-09-11,1166
2020-09-12,1246
2020-09-13,1282
2020-09-14,1206
2020-09-15,1297
2020-09-16,1405
2020-09-17,1534
2020-09-18,1562
2020-09-19,1691
2020-09-20,1692
2020-09-21,1877
2020-09-22,1993
