age_group,day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max,type
0,99.0,254255.8127386935,251094.2462311558,256829.75879396984,88063.40266331659,85924.32663316582,90218.6582914573,1507.1382361809044,1404.8693467336684,1614.467336683417,789922.5295427137,787280.8743718592,793111.7236180905,577.9689798994976,518.9095477386935,648.4120603015075,25813.806793969845,25204.13567839196,26463.54271356784,40377.03118090452,39462.030150753766,41307.753768844224,average
1,99.0,122729.33277386935,121090.38693467337,124204.62814070351,44383.33897989951,43199.452261306535,45586.98492462312,485.37759296482415,424.94472361809045,547.8190954773869,406955.57243718597,405439.41708542715,408588.5929648241,447.7518592964824,390.5527638190955,512.3969849246231,22573.538195979898,22035.748743718592,23134.256281407033,15418.206236180904,14943.964824120603,15882.221105527638,average
2,99.0,133787.80734673367,131940.0703517588,135436.89949748744,46245.5746482412,44986.849246231155,47516.97487437186,515.2472763819095,448.2211055276382,582.0301507537688,418494.2989447237,416710.59798994975,420355.351758794,458.97285929648234,394.5577889447236,526.6834170854271,23523.154773869344,22943.638190954774,24099.76381909548,16067.031437185933,15596.909547738693,16538.251256281408,average
3,99.0,162474.9542361809,160175.34170854272,164408.83417085427,56297.23015577889,54835.77386934673,57795.27135678392,550.2976783919598,482.7286432160804,618.4422110552764,509409.9873015075,507454.38693467336,511730.7688442211,1119.889904522613,1026.854271356784,1204.9497487437186,28630.3493919598,27921.105527638192,29345.608040201005,19560.662005025126,19028.231155778896,20098.075376884422,average
4,99.0,142154.44000502516,140349.7336683417,143749.55778894472,49403.76790452261,48163.79396984925,50712.39698492462,574.9566130653267,505.64824120603015,645.9396984924623,444894.2537185929,443056.743718593,446722.2110552764,3198.054211055276,3019.291457286432,3355.934673366834,25124.962954773866,24553.59296482412,25723.05025125628,17163.81232160804,16691.94974874372,17667.376884422112,average
5,99.0,131530.42220603017,130037.87939698492,132884.23618090453,41723.15076884422,40699.331658291456,42755.09547738694,742.4935628140703,665.5628140703518,819.4723618090452,360307.5717889447,358863.4070351759,361852.7587939699,7268.462376884421,7043.195979899498,7485.939698492462,21219.49316582915,20684.201005025127,21747.608040201005,14493.864477386935,14067.125628140704,14918.88944723618,average
6,99.0,145149.34376884424,143465.8592964824,146605.824120603,43838.95892964825,42745.874371859296,44880.65829145729,1191.9715979899495,1096.8693467336684,1291.502512562814,356174.185723618,354684.97487437184,357930.9296482412,23796.937412060302,23371.989949748742,24220.879396984925,22294.25195477387,21741.658291457286,22830.130653266333,15228.242763819093,14795.251256281406,15661.547738693467,average
7,99.0,16011.333773869348,15719.929648241206,16369.462311557789,7869.920547738693,7458.130653266332,8284.723618090453,92.6413015075377,68.49246231155779,119.2713567839196,77674.92108040201,77286.48743718593,78019.35175879397,225.98236683417088,187.94472361809045,277.75879396984925,4000.741005025126,3815.2763819095476,4183.597989949749,2733.597457286432,2580.7286432160804,2882.753768844221,average
,,138511.6808561558,136734.1809045226,140061.15012562813,47228.16807474875,46001.69158291457,48468.84547738694,707.5154824120602,637.1670854271357,779.8680904522613,420479.1650672111,418847.11118090455,422288.9610552764,4636.752496231155,4494.162060301507,4779.119346733668,21647.53727952261,21112.41959798995,22190.944723618093,17630.305984924624,17145.773869346733,18119.60866834171,aoa
,,64757.50513485049,63967.73910548744,65365.02943240201,21890.701387111865,21413.401650548672,22375.23971746382,444.3276779004458,422.0320618213317,468.01464288844903,196559.8837158218,195938.62327028922,197344.4542950475,8101.207528574923,7973.706174269288,8226.45708985544,7508.0552462192145,7357.390772867247,7665.536414965632,10462.270365866927,10255.001664207954,10675.498823879907,std
